Title,Biostimulant type,,filter_name
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Cereals
Afital K,"Anorganic elements Si, Phosphite",Afital K,Cereals
4-Vita,Plant extract,4-Vita,Field crop plants
Abies,Plant extract,Abies,Field crop plants
Acadian,Seaweed extract,Acadian,Field crop plants
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Field crop plants
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Field crop plants
Actiwave,Seaweed extract,Actiwave,Field crop plants
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Field crop plants
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Field crop plants
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Field crop plants
Afital K,"Anorganic elements Si, Phosphite",Afital K,Field crop plants
4-Vita,Plant extract,4-Vita,Forage plants
Abies,Plant extract,Abies,Forage plants
Acadian,Seaweed extract,Acadian,Forage plants
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Forage plants
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Forage plants
Actiwave,Seaweed extract,Actiwave,Forage plants
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Forage plants
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Forage plants
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Forage plants
Afital K,"Anorganic elements Si, Phosphite",Afital K,Forage plants
4-Vita,Plant extract,4-Vita,Fruit vegetable crops
Abies,Plant extract,Abies,Fruit vegetable crops
Acadian,Seaweed extract,Acadian,Fruit vegetable crops
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Fruit vegetable crops
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Fruit vegetable crops
Actiwave,Seaweed extract,Actiwave,Fruit vegetable crops
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Fruit vegetable crops
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Fruit vegetable crops
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Fruit vegetable crops
Afital K,"Anorganic elements Si, Phosphite",Afital K,Fruit vegetable crops
4-Vita,Plant extract,4-Vita,Leafy vegetables
Abies,Plant extract,Abies,Leafy vegetables
Acadian,Seaweed extract,Acadian,Leafy vegetables
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Leafy vegetables
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Leafy vegetables
Actiwave,Seaweed extract,Actiwave,Leafy vegetables
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Leafy vegetables
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Leafy vegetables
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Leafy vegetables
Afital K,"Anorganic elements Si, Phosphite",Afital K,Leafy vegetables
4-Vita,Plant extract,4-Vita,Perennials
Abies,Plant extract,Abies,Perennials
Acadian,Seaweed extract,Acadian,Perennials
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Perennials
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Perennials
Actiwave,Seaweed extract,Actiwave,Perennials
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Perennials
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Perennials
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Perennials
Afital K,"Anorganic elements Si, Phosphite",Afital K,Perennials
4-Vita,Plant extract,4-Vita,Pome fruits
Abies,Plant extract,Abies,Pome fruits
Acadian,Seaweed extract,Acadian,Pome fruits
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Pome fruits
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Pome fruits
Actiwave,Seaweed extract,Actiwave,Pome fruits
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Pome fruits
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Pome fruits
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Pome fruits
Afital K,"Anorganic elements Si, Phosphite",Afital K,Pome fruits
4-Vita,Plant extract,4-Vita,Pseudocereals
Abies,Plant extract,Abies,Pseudocereals
Acadian,Seaweed extract,Acadian,Pseudocereals
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Pseudocereals
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Pseudocereals
Actiwave,Seaweed extract,Actiwave,Pseudocereals
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Pseudocereals
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Pseudocereals
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Pseudocereals
Afital K,"Anorganic elements Si, Phosphite",Afital K,Pseudocereals
4-Vita,Plant extract,4-Vita,Pulses
Abies,Plant extract,Abies,Pulses
Acadian,Seaweed extract,Acadian,Pulses
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Pulses
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Pulses
Actiwave,Seaweed extract,Actiwave,Pulses
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Pulses
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Pulses
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Pulses
Afital K,"Anorganic elements Si, Phosphite",Afital K,Pulses
4-Vita,Plant extract,4-Vita,Root vegetables
Abies,Plant extract,Abies,Root vegetables
Acadian,Seaweed extract,Acadian,Root vegetables
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Root vegetables
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Root vegetables
Actiwave,Seaweed extract,Actiwave,Root vegetables
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Root vegetables
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Root vegetables
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Root vegetables
Afital K,"Anorganic elements Si, Phosphite",Afital K,Root vegetables
4-Vita,Plant extract,4-Vita,Stone fruits
Abies,Plant extract,Abies,Stone fruits
Acadian,Seaweed extract,Acadian,Stone fruits
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Stone fruits
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Stone fruits
Actiwave,Seaweed extract,Actiwave,Stone fruits
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Stone fruits
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Stone fruits
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Stone fruits
Afital K,"Anorganic elements Si, Phosphite",Afital K,Stone fruits
4-Vita,Plant extract,4-Vita,Woody ornamentals
Abies,Plant extract,Abies,Woody ornamentals
Acadian,Seaweed extract,Acadian,Woody ornamentals
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Woody ornamentals
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Woody ornamentals
Actiwave,Seaweed extract,Actiwave,Woody ornamentals
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Woody ornamentals
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Woody ornamentals
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Woody ornamentals
Afital K,"Anorganic elements Si, Phosphite",Afital K,Woody ornamentals
